.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR3216934_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216935_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216936_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216937_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216938_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216939_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216940_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216941_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216942_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216943_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216944_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216945_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216946_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216947_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216948_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216949_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216950_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216951_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216952_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216953_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216954_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216955_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216956_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216957_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216958_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216959_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216960_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216961_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216962_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216963_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216964_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216965_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216966_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216967_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216968_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216969_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216970_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216971_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216972_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216973_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216974_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216975_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216976_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216977_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216978_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216979_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216980_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216981_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216982_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216983_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216984_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216985_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216986_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216987_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216988_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216989_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216990_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216991_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216992_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216993_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216994_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216995_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216996_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216997_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216998_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216999_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217000_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217001_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217002_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217003_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217004_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217005_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217006_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217007_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217008_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217009_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217010_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217011_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217012_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217013_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217014_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217015_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217016_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217017_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217018_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217019_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217020_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217021_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217022_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217023_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217024_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217025_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217026_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217027_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217028_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217029_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217030_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217031_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217032_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217033_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217034_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217035_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217036_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217037_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217038_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217039_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217040_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217041_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217042_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217043_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217044_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217045_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217046_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217047_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217048_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217049_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217050_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217051_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217052_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217053_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217054_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217055_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217056_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217057_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217058_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217059_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217060_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217061_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217062_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217063_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217064_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217065_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217066_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217067_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217068_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217069_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217070_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217071_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217072_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217073_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217074_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217075_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217076_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217077_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217078_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217079_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217080_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217081_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217082_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217083_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.5
SRR3217084_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217085_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217086_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217087_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217088_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217089_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217090_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217091_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217092_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217093_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217094_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217095_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217096_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217097_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217098_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217099_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217100_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217101_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217102_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217103_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217104_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217105_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217106_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217107_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217108_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217109_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217110_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217111_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217112_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217113_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217114_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217115_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217116_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217117_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217118_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217119_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217120_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217121_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217122_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217123_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217124_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217125_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217126_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217127_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217128_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217129_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217130_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217131_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217132_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217133_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217134_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217135_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217136_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217137_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217138_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217139_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217140_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217141_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217142_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217143_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217144_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217145_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217146_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217147_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217148_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217149_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217150_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217151_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217152_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217153_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217154_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217155_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217156_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217157_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217158_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217159_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217160_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217161_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217162_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217163_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217164_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217165_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217166_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217167_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217168_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217169_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217170_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217171_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217172_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217173_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217174_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217175_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217176_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217177_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217178_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217179_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217180_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217181_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217182_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217183_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217184_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217185_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217186_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217187_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217188_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217189_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217190_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217191_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217192_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217193_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217194_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217195_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217196_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217197_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217198_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217199_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217200_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217201_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217202_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217203_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217204_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217205_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217206_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217207_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217208_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217209_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217210_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217211_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217212_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217213_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217214_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217215_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217216_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217217_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217218_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217219_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217220_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217221_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217222_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217223_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217224_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217225_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217226_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217227_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217228_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217229_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217230_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217231_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217232_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3217233_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
