Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR3216601_1	(1.0, 1.0841332580463015)	(2.0, 0.6606437041219649)	(3.0, 0.41501976284584985)	(4.0, 0.40654997176736307)	(5.0, 0.26821005081874644)	(6.0, 0.18633540372670807)	(7.0, 0.2766798418972332)	(8.0, 0.2484472049689441)	(9.0, 0.27950310559006214)	('>10', 5.412196499153021)	('>50', 2.075098814229249)	('>100', 0.9034443817052512)	('>500', 1.4991530208921513)	('>1k', 8.96668548842462)	('>5k', 17.15415019762846)	('>10k+', 60.16374929418408)
SRR3216602_1	(1.0, 1.1049022098044197)	(2.0, 0.7789348912031158)	(3.0, 0.5588011176022353)	(4.0, 0.3048006096012192)	(5.0, 0.48683430700194735)	(6.0, 0.27940055880111764)	(7.0, 0.2667005334010668)	(8.0, 0.5418677504021674)	(9.0, 0.3048006096012192)	('>10', 6.227245787824909)	('>50', 0.948268563203793)	('>100', 0.0)	('>500', 2.531538396410126)	('>1k', 21.225975785284902)	('>5k', 0.0)	('>10k+', 64.43992887985776)
SRR3216603_1	(1.0, 1.4920489496760683)	(2.0, 1.295726719455533)	(3.0, 0.5497022446174988)	(4.0, 0.628231136705713)	(5.0, 0.6216870623650285)	(6.0, 0.2748511223087494)	(7.0, 0.2748511223087494)	(8.0, 0.4188207578038086)	(9.0, 0.5300700215954454)	('>10', 5.353052810679929)	('>50', 2.2249852758327338)	('>100', 0.0)	('>500', 0.0)	('>1k', 25.109613245206464)	('>5k', 61.226359531444274)	('>10k+', 0.0)
SRR3216604_1	(1.0, 1.9595910418695228)	(2.0, 1.7039922103213243)	(3.0, 1.095423563777994)	(4.0, 0.7789678675754625)	(5.0, 0.9128529698149951)	(6.0, 1.095423563777994)	(7.0, 0.34079844206426485)	(8.0, 0.8763388510223954)	(9.0, 0.4381694255111977)	('>10', 5.69620253164557)	('>50', 1.0589094449853944)	('>100', 0.0)	('>500', 0.0)	('>1k', 84.04333008763388)	('>5k', 0.0)	('>10k+', 0.0)
SRR3216605_1	(1.0, 2.7774238756529495)	(2.0, 2.1913619569371896)	(3.0, 1.452414320295579)	(4.0, 1.4269333673079374)	(5.0, 0.6370238246910435)	(6.0, 0.6115428717034017)	(7.0, 0.7134666836539687)	(8.0, 0.5096190597528347)	(9.0, 0.687985730666327)	('>10', 4.369983437380558)	('>50', 4.24257867244235)	('>100', 8.94381449866225)	('>500', 27.13721493183845)	('>1k', 44.29863676901516)	('>5k', 0.0)	('>10k+', 0.0)
SRR3216606_1	(1.0, 2.0892959358900973)	(2.0, 1.5455065827132226)	(3.0, 0.6868918145392101)	(4.0, 0.8013737836290785)	(5.0, 0.5724098454493417)	(6.0, 0.6296508299942759)	(7.0, 0.8013737836290785)	(8.0, 0.5342491890860523)	(9.0, 0.42930738408700636)	('>10', 7.30776569356993)	('>50', 2.051135279526808)	('>100', 17.04827323029956)	('>500', 5.323411562678878)	('>1k', 0.0)	('>5k', 60.179355084907456)	('>10k+', 0.0)
SRR3216607_1	(1.0, 1.6035214588901119)	(2.0, 1.2576638893255778)	(3.0, 0.8960855211444743)	(4.0, 0.56594875019651)	(5.0, 0.7860399308284862)	(6.0, 0.37729916679767334)	(7.0, 0.3301367709479642)	(8.0, 0.37729916679767334)	(9.0, 0.1414871875491275)	('>10', 3.3956925011790604)	('>50', 0.0)	('>100', 12.246502122307813)	('>500', 0.0)	('>1k', 78.02232353403554)	('>5k', 0.0)	('>10k+', 0.0)
SRR3216610_1	(1.0, 1.3062169312169312)	(2.0, 0.7936507936507936)	(3.0, 0.9424603174603174)	(4.0, 0.5952380952380952)	(5.0, 0.8267195767195766)	(6.0, 0.3968253968253968)	(7.0, 0.8101851851851851)	(8.0, 0.13227513227513227)	(9.0, 0.8928571428571428)	('>10', 2.628968253968254)	('>50', 1.2070105820105819)	('>100', 1.7195767195767195)	('>500', 0.0)	('>1k', 0.0)	('>5k', 87.74801587301587)	('>10k+', 0.0)
SRR3216612_1	(1.0, 6.461405030355594)	(2.0, 5.117085862966175)	(3.0, 2.0815264527320037)	(4.0, 1.9658860942468923)	(5.0, 1.3009540329575022)	(6.0, 0.6938421509106678)	(7.0, 0.6071118820468344)	(8.0, 0.5782017924255565)	(9.0, 0.13009540329575023)	('>10', 13.197455912113329)	('>50', 6.418039895923677)	('>100', 19.13847932928592)	('>500', 42.309916160740094)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR3216613_1	(1.0, 1.1740522591611653)	(2.0, 0.9408230224927858)	(3.0, 0.699687710005139)	(4.0, 0.47436454915602644)	(5.0, 0.41506898051152313)	(6.0, 0.23718227457801322)	(7.0, 0.41506898051152313)	(8.0, 0.18974581966241055)	(9.0, 0.21346404712021186)	('>10', 6.577855081630232)	('>50', 0.7629363165592759)	('>100', 2.020002371822746)	('>500', 0.0)	('>1k', 12.570660552634699)	('>5k', 0.0)	('>10k+', 73.30908803415424)
