Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR3216745_1	(1.0, 3.288467421229734)	(2.0, 2.3401651881309267)	(3.0, 1.4683389415723462)	(4.0, 1.1012542061792596)	(5.0, 0.7647598654022637)	(6.0, 0.5965126950137657)	(7.0, 0.6423982869379015)	(8.0, 0.7341694707861731)	(9.0, 0.4817987152034261)	('>10', 5.919241358213521)	('>50', 2.974915876414806)	('>100', 13.735087182624655)	('>500', 16.465279902110737)	('>1k', 49.487610890180484)	('>5k', 0.0)	('>10k+', 0.0)
SRR3216746_1	(1.0, 2.8822956786727048)	(2.0, 1.904600668726457)	(3.0, 1.3205231303170102)	(4.0, 0.8295594023786346)	(5.0, 0.5502179709654209)	(6.0, 0.6602615651585051)	(7.0, 0.29627121513522664)	(8.0, 0.4063148093283109)	(9.0, 0.7237482541160536)	('>10', 6.699961907986625)	('>50', 2.36593727515131)	('>100', 10.115545773902738)	('>500', 9.349473060481653)	('>1k', 33.38976594574004)	('>5k', 28.50552334193931)	('>10k+', 0.0)
SRR3216747_1	(1.0, 3.3107839235972945)	(2.0, 1.7986470354158377)	(3.0, 1.3131715081575805)	(4.0, 1.2097095105451652)	(5.0, 0.5968961400716275)	(6.0, 0.8595304417031437)	(7.0, 0.44568245125348194)	(8.0, 0.700358137684043)	(9.0, 0.5013927576601671)	('>10', 6.526064464783128)	('>50', 4.5841623557501)	('>100', 10.871468364504576)	('>500', 11.79466772781536)	('>1k', 55.4874651810585)	('>5k', 0.0)	('>10k+', 0.0)
SRR3216748_1	(1.0, 1.1087326417476262)	(2.0, 0.4830122399692629)	(3.0, 0.44459081178988963)	(4.0, 0.15368571271749273)	(5.0, 0.27443877270980843)	(6.0, 0.19759591635106205)	(7.0, 0.15368571271749273)	(8.0, 0.1756408145342774)	(9.0, 0.09879795817553103)	('>10', 6.196827487787475)	('>50', 1.4874581480871618)	('>100', 1.8606948789725013)	('>500', 3.134090784346012)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 84.23074812009442)
SRR3216749_1	(1.0, 3.176813061637768)	(2.0, 1.9238071130236678)	(3.0, 0.7593975446146057)	(4.0, 0.4556385267687635)	(5.0, 0.12656625743576763)	(6.0, 0.22781926338438174)	(7.0, 0.17719276041007467)	(8.0, 0.0)	(9.0, 0.0)	('>10', 7.6319453233767875)	('>50', 20.237944563979244)	('>100', 40.69105176559929)	('>500', 7.923047715479053)	('>1k', 16.668776104290597)	('>5k', 0.0)	('>10k+', 0.0)
SRR3216750_1	(1.0, 2.8986218058757176)	(2.0, 1.7362303202707343)	(3.0, 1.2948158320663103)	(4.0, 1.0201579282946687)	(5.0, 1.0054441120211879)	(6.0, 0.6474079160331552)	(7.0, 0.6179802834861936)	(8.0, 0.4708421207513856)	(9.0, 0.3089901417430968)	('>10', 6.567266663396929)	('>50', 0.28446711462062874)	('>100', 9.691500318799353)	('>500', 10.294766786012065)	('>1k', 63.16150865662857)	('>5k', 0.0)	('>10k+', 0.0)
SRR3216751_1	(1.0, 2.028650235786102)	(2.0, 1.3702286680309637)	(3.0, 0.9075540528516772)	(4.0, 1.1744817154551117)	(5.0, 0.8007829878103034)	(6.0, 0.6406263902482427)	(7.0, 0.871963697837886)	(8.0, 0.6406263902482427)	(9.0, 0.6406263902482427)	('>10', 4.715722039327342)	('>50', 1.1922768929620071)	('>100', 9.582703087463297)	('>500', 0.0)	('>1k', 75.43375745173057)	('>5k', 0.0)	('>10k+', 0.0)
SRR3216752_1	(1.0, 1.5150098195080894)	(2.0, 1.1970447956607126)	(3.0, 0.7855606471523428)	(4.0, 0.7481529972879454)	(5.0, 0.6078743102964557)	(6.0, 0.5611147479659591)	(7.0, 0.8510240344150379)	(8.0, 0.5985223978303563)	(9.0, 0.589170485364257)	('>10', 5.452164967735902)	('>50', 0.5424109230337604)	('>100', 1.4027868699148975)	('>500', 0.0)	('>1k', 15.814083980173946)	('>5k', 69.33507902366034)	('>10k+', 0.0)
SRR3216753_1	(1.0, 0.47770700636942676)	(2.0, 0.18633961241360616)	(3.0, 0.17278764060170757)	(4.0, 0.10841577449518904)	(5.0, 0.11010977097167637)	(6.0, 0.06098387315354384)	(7.0, 0.05928987667705651)	(8.0, 0.10841577449518904)	(9.0, 0.06098387315354384)	('>10', 2.6443284997967202)	('>50', 3.181325382843204)	('>100', 2.034489768261282)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 90.79482314676785)
SRR3216754_1	(1.0, 0.6404020752269779)	(2.0, 0.30804150453955903)	(3.0, 0.13375486381322957)	(4.0, 0.11348897535667965)	(5.0, 0.14186121919584954)	(6.0, 0.07295719844357977)	(7.0, 0.14186121919584954)	(8.0, 0.06485084306095978)	(9.0, 0.1823929961089494)	('>10', 5.439364461738003)	('>50', 1.1511024643320364)	('>100', 0.5877107652399481)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 91.02221141374838)
SRR3216755_1	(1.0, 1.6129032258064515)	(2.0, 1.0148604566872055)	(3.0, 0.8426966292134831)	(4.0, 0.5799202609641174)	(5.0, 0.1812250815512867)	(6.0, 0.598042769119246)	(7.0, 0.5074302283436027)	(8.0, 0.3624501631025734)	(9.0, 0.48930772018847407)	('>10', 5.708590068865531)	('>50', 3.2801739760782893)	('>100', 4.122870605291772)	('>500', 0.0)	('>1k', 0.0)	('>5k', 80.69952881478797)	('>10k+', 0.0)
SRR3216756_1	(1.0, 4.892717815344604)	(2.0, 3.218465539661899)	(3.0, 1.6092327698309494)	(4.0, 1.1703511053315996)	(5.0, 0.5689206762028608)	(6.0, 1.0728218465539663)	(7.0, 0.34135240572171655)	(8.0, 0.6501950585175552)	(9.0, 0.5851755526657998)	('>10', 10.110533159947984)	('>50', 3.429778933680104)	('>100', 26.90182054616385)	('>500', 45.44863459037711)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR3216757_1	(1.0, 3.6870183758150565)	(2.0, 2.4659158269116777)	(3.0, 1.885002963841138)	(4.0, 1.3752222880853586)	(5.0, 0.7705986959098993)	(6.0, 0.7824540604623592)	(7.0, 0.5809128630705395)	(8.0, 0.5690574985180794)	(9.0, 0.21339656194427978)	('>10', 5.394190871369295)	('>50', 5.1096621221102545)	('>100', 14.759928867812686)	('>500', 30.62240663900415)	('>1k', 31.784232365145225)	('>5k', 0.0)	('>10k+', 0.0)
SRR3216758_1	(1.0, 2.58743009765462)	(2.0, 1.6693097404223354)	(3.0, 1.0266254903597363)	(4.0, 0.8012686754027211)	(5.0, 0.7094566396794925)	(6.0, 0.7511893831900509)	(7.0, 0.4089808864034722)	(8.0, 0.4674067273182539)	(9.0, 0.5258325682330357)	('>10', 6.251564977881646)	('>50', 1.5357649611885487)	('>100', 7.8207161338786415)	('>500', 7.26984391953927)	('>1k', 68.17460979884817)	('>5k', 0.0)	('>10k+', 0.0)
SRR3216759_1	(1.0, 1.011581879489811)	(2.0, 0.5790939744905439)	(3.0, 0.7147045887699751)	(4.0, 0.6010848849142355)	(5.0, 0.27488638029614426)	(6.0, 0.4178272980501393)	(7.0, 0.38484093241460193)	(8.0, 0.46913942237208617)	(9.0, 0.2309045594487612)	('>10', 6.179445829057323)	('>50', 0.7330303474563847)	('>100', 0.6340712505497728)	('>500', 0.0)	('>1k', 27.627913795631137)	('>5k', 0.0)	('>10k+', 60.14147485705909)
SRR3216760_1	(1.0, 1.9204389574759946)	(2.0, 1.6852831667646482)	(3.0, 1.4109347442680775)	(4.0, 0.313541054281795)	(5.0, 0.7838526357044875)	(6.0, 0.4703115814226925)	(7.0, 0.823045267489712)	(8.0, 0.62708210856359)	(9.0, 0.3527336860670194)	('>10', 2.1164021164021163)	('>50', 0.0)	('>100', 6.290417401528512)	('>500', 18.106995884773664)	('>1k', 65.09896139525769)	('>5k', 0.0)	('>10k+', 0.0)
SRR3216761_1	(1.0, 4.2575919426217)	(2.0, 2.899435373111552)	(3.0, 2.151686250572257)	(4.0, 1.3428963833358767)	(5.0, 0.6867083778422097)	(6.0, 0.36624446818251183)	(7.0, 0.747749122539295)	(8.0, 0.9766519151533648)	(9.0, 0.5493667022737677)	('>10', 11.39935907218068)	('>50', 4.166030825576072)	('>100', 30.993438119945065)	('>500', 7.813215321226918)	('>1k', 31.64962612543873)	('>5k', 0.0)	('>10k+', 0.0)
SRR3216762_1	(1.0, 3.6471373727257554)	(2.0, 2.4870639292271743)	(3.0, 1.627441161742614)	(4.0, 1.0348856618260724)	(5.0, 0.8345852111500583)	(6.0, 0.6009013520280421)	(7.0, 0.46736771824403267)	(8.0, 0.6009013520280421)	(9.0, 0.15022533800701052)	('>10', 7.277583041228509)	('>50', 4.3231513937573025)	('>100', 21.13169754631948)	('>500', 27.007177432815894)	('>1k', 28.809881488900018)	('>5k', 0.0)	('>10k+', 0.0)
SRR3216763_1	(1.0, 2.2910557184750733)	(2.0, 1.4846041055718475)	(3.0, 0.93475073313783)	(4.0, 0.9164222873900294)	(5.0, 0.7789589442815249)	(6.0, 0.8797653958944283)	(7.0, 1.0263929618768328)	(8.0, 0.7331378299120235)	(9.0, 0.5773460410557185)	('>10', 8.568548387096774)	('>50', 4.563782991202346)	('>100', 3.244134897360704)	('>500', 0.0)	('>1k', 9.604105571847507)	('>5k', 64.39699413489735)	('>10k+', 0.0)
SRR3216764_1	(1.0, 1.9310593755639778)	(2.0, 1.3354990073993864)	(3.0, 0.7715213860314023)	(4.0, 0.3789929615592853)	(5.0, 0.7895686699151777)	(6.0, 0.5143475906876015)	(7.0, 0.4737412019491067)	(8.0, 0.7218913553510197)	(9.0, 0.568489442338928)	('>10', 8.391987005955603)	('>50', 4.714852914636348)	('>100', 10.98628406424833)	('>500', 0.0)	('>1k', 20.528785417794623)	('>5k', 0.0)	('>10k+', 47.89297960656921)
SRR3216765_1	(1.0, 1.0131108462455305)	(2.0, 0.6356773937226857)	(3.0, 0.3972983710766786)	(4.0, 0.34432525493312144)	(5.0, 0.2648655807177857)	(6.0, 0.3575685339690107)	(7.0, 0.3244603363792875)	(8.0, 0.10594623228711429)	(9.0, 0.3575685339690107)	('>10', 6.853396901072706)	('>50', 0.7548669050456893)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 88.59091511058138)
SRR3216766_1	(1.0, 1.1712795828319293)	(2.0, 0.7380665864420377)	(3.0, 0.3369434416365824)	(4.0, 0.3208985158443642)	(5.0, 0.4011231448054553)	(6.0, 0.2888086642599278)	(7.0, 0.44925792218210986)	(8.0, 0.1925391095066185)	(9.0, 0.5054151624548736)	('>10', 7.059767348576012)	('>50', 0.7220216606498195)	('>100', 0.8584035298836742)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 86.95547533092659)
SRR3216767_1	(1.0, 4.182233291822333)	(2.0, 2.8019925280199254)	(3.0, 1.6811955168119552)	(4.0, 1.1623080116230802)	(5.0, 0.933997509339975)	(6.0, 0.5603985056039851)	(7.0, 1.017019510170195)	(8.0, 0.91324200913242)	(9.0, 0.37359900373599003)	('>10', 10.107928601079285)	('>50', 5.967206309672063)	('>100', 23.495226234952263)	('>500', 0.0)	('>1k', 46.80365296803653)	('>5k', 0.0)	('>10k+', 0.0)
SRR3216768_1	(1.0, 4.056510244547257)	(2.0, 2.2141440846001323)	(3.0, 1.5366820885657635)	(4.0, 1.5532055518836747)	(5.0, 0.7022471910112359)	(6.0, 0.8922670191672175)	(7.0, 0.4048248512888301)	(8.0, 0.4626569729015202)	(9.0, 0.5948446794448117)	('>10', 9.401850627891605)	('>50', 3.1725049570389956)	('>100', 21.885327164573695)	('>500', 19.572042300066094)	('>1k', 33.550892267019165)	('>5k', 0.0)	('>10k+', 0.0)
SRR3216769_1	(1.0, 5.064330687106488)	(2.0, 2.7374760470845882)	(3.0, 2.053107035313441)	(4.0, 0.9854913769504517)	(5.0, 0.6843690117711471)	(6.0, 0.6569942513003011)	(7.0, 1.149739939775527)	(8.0, 0.6569942513003011)	(9.0, 1.2318642211880646)	('>10', 16.2879824801533)	('>50', 9.252669039145907)	('>100', 24.63728442376129)	('>500', 0.0)	('>1k', 34.601697235149196)	('>5k', 0.0)	('>10k+', 0.0)
SRR3216770_1	(1.0, 2.401231400718317)	(2.0, 1.0466906105695228)	(3.0, 0.7388404309902513)	(4.0, 0.5336069779374039)	(5.0, 0.7696254489481785)	(6.0, 0.7388404309902513)	(7.0, 0.9338122113904567)	(8.0, 0.24628014366341713)	(9.0, 1.0159055926115956)	('>10', 9.430477167778347)	('>50', 5.756798358132375)	('>100', 11.103129810159055)	('>500', 0.0)	('>1k', 0.0)	('>5k', 65.28476141611083)	('>10k+', 0.0)
SRR3216771_1	(1.0, 1.1410459587955626)	(2.0, 0.9931325937665082)	(3.0, 0.5388272583201268)	(4.0, 0.4226096143687269)	(5.0, 0.5282620179609087)	(6.0, 0.31695721077654515)	(7.0, 0.07395668251452721)	(8.0, 0.4226096143687269)	(9.0, 0.8557844690966719)	('>10', 4.226096143687269)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 12.551505546751187)	('>5k', 77.92921288959323)	('>10k+', 0.0)
SRR3216772_1	(1.0, 0.7105202842081138)	(2.0, 0.3667201466880587)	(3.0, 0.343800137520055)	(4.0, 0.343800137520055)	(5.0, 0.11460004584001833)	(6.0, 0.2406600962640385)	(7.0, 0.2005500802200321)	(8.0, 0.045840018336007336)	(9.0, 0.20628008251203303)	('>10', 6.199862479944992)	('>50', 0.0)	('>100', 0.0)	('>500', 4.457941783176713)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 86.76942470776989)
SRR3216773_1	(1.0, 2.8291258084706863)	(2.0, 2.069684957229293)	(3.0, 1.0890882537033175)	(4.0, 0.8512413936991446)	(5.0, 0.7302315877321094)	(6.0, 0.575839766325892)	(7.0, 0.5841852701856874)	(8.0, 0.30043813895263927)	(9.0, 0.6384310452743585)	('>10', 7.782182349259337)	('>50', 4.502399332359691)	('>100', 22.40767786355101)	('>500', 4.56081785937826)	('>1k', 24.33966200709368)	('>5k', 26.738994366784897)	('>10k+', 0.0)
SRR3216774_1	(1.0, 3.3715925394548063)	(2.0, 2.034694143732881)	(3.0, 1.5651493413329856)	(4.0, 1.173862005999739)	(5.0, 1.2716838398330508)	(6.0, 0.860832137733142)	(7.0, 1.0499543498108779)	(8.0, 0.5738880918220948)	(9.0, 0.6456241032998565)	('>10', 6.638841789487413)	('>50', 2.8368331811660363)	('>100', 8.38007043172036)	('>500', 10.043041606886657)	('>1k', 59.5539324377201)	('>5k', 0.0)	('>10k+', 0.0)
SRR3216775_1	(1.0, 1.802993386703794)	(2.0, 1.023320570831883)	(3.0, 0.8458057779324747)	(4.0, 0.40375913679081105)	(5.0, 0.2958579881656805)	(6.0, 0.35502958579881655)	(7.0, 0.41420118343195267)	(8.0, 0.3898364079359555)	(9.0, 0.18795683954054995)	('>10', 8.214410024364776)	('>50', 3.1360946745562135)	('>100', 5.057431256526279)	('>500', 1.8830490776192133)	('>1k', 10.880612600069615)	('>5k', 0.0)	('>10k+', 65.10964148973198)
SRR3216776_1	(1.0, 3.316217372700043)	(2.0, 2.652973898160034)	(3.0, 1.9255455712451863)	(4.0, 1.7115960633290546)	(5.0, 1.2836970474967908)	(6.0, 0.5134788189987163)	(7.0, 0.8985879332477535)	(8.0, 1.3692768506632436)	(9.0, 0.19255455712451863)	('>10', 9.456568249893026)	('>50', 2.8241335044929397)	('>100', 12.943945228925974)	('>500', 14.120667522464696)	('>1k', 46.790757381258025)	('>5k', 0.0)	('>10k+', 0.0)
SRR3216777_1	(1.0, 1.0631308606581855)	(2.0, 0.5853192378904617)	(3.0, 0.4837842680523204)	(4.0, 0.2866869736606343)	(5.0, 0.20904258496087916)	(6.0, 0.250851101953055)	(7.0, 0.20904258496087916)	(8.0, 0.2866869736606343)	(9.0, 0.3225228453682136)	('>10', 5.566505405243983)	('>50', 0.3941945887833721)	('>100', 1.069103505942782)	('>500', 0.0)	('>1k', 7.895837066236636)	('>5k', 0.0)	('>10k+', 81.37729200262797)
SRR3216778_1	(1.0, 1.4300306435137897)	(2.0, 1.481103166496425)	(3.0, 0.9193054136874361)	(4.0, 0.8171603677221655)	(5.0, 1.4044943820224718)	(6.0, 0.45965270684371806)	(7.0, 0.5362614913176711)	(8.0, 0.8171603677221655)	(9.0, 0.22982635342185903)	('>10', 0.30643513789581206)	('>50', 0.0)	('>100', 4.06026557711951)	('>500', 0.0)	('>1k', 87.53830439223698)	('>5k', 0.0)	('>10k+', 0.0)
SRR3216779_1	(1.0, 4.175851089884889)	(2.0, 2.547146705853539)	(3.0, 1.8736223365172666)	(4.0, 1.6164584864070537)	(5.0, 0.795983345579231)	(6.0, 0.5878030859662012)	(7.0, 0.42860641685035517)	(8.0, 0.3918687239774675)	(9.0, 0.5510653930933138)	('>10', 10.139603232916974)	('>50', 9.637521430320843)	('>100', 27.026696056820963)	('>500', 13.323536615233897)	('>1k', 26.904237080578007)	('>5k', 0.0)	('>10k+', 0.0)
SRR3216780_1	(1.0, 4.624367458154924)	(2.0, 2.9116387699493966)	(3.0, 1.7750097314130013)	(4.0, 1.1833398209420007)	(5.0, 0.8174386920980926)	(6.0, 0.7473725184896847)	(7.0, 0.4359673024523161)	(8.0, 0.8719346049046321)	(9.0, 0.6305955624756715)	('>10', 9.560140132347216)	('>50', 9.349941611521993)	('>100', 32.79096924873491)	('>500', 20.319190346438305)	('>1k', 13.982094200077851)	('>5k', 0.0)	('>10k+', 0.0)
SRR3216781_1	(1.0, 2.0853826480424944)	(2.0, 1.3827604620443497)	(3.0, 0.9274612855175515)	(4.0, 0.49464601894269417)	(5.0, 0.5339928613585903)	(6.0, 0.3878474466709761)	(7.0, 0.37379500295101314)	(8.0, 0.2698069194232877)	(9.0, 0.3288271830471319)	('>10', 6.3601360276552095)	('>50', 2.532250358337315)	('>100', 6.910991821477755)	('>500', 9.580956128270707)	('>1k', 20.055647677131052)	('>5k', 0.0)	('>10k+', 47.77549815912987)
SRR3216782_1	(1.0, 3.255240443896424)	(2.0, 2.4167694204685573)	(3.0, 1.2946979038224413)	(4.0, 1.282367447595561)	(5.0, 0.9864364981504316)	(6.0, 0.6658446362515413)	(7.0, 0.345252774352651)	(8.0, 0.39457459926017263)	(9.0, 0.998766954377312)	('>10', 7.731196054254006)	('>50', 7.657213316892725)	('>100', 18.877928483353884)	('>500', 6.27620221948212)	('>1k', 47.817509247842175)	('>5k', 0.0)	('>10k+', 0.0)
SRR3216783_1	(1.0, 2.2587268993839835)	(2.0, 1.1381636843649163)	(3.0, 0.633616896450572)	(4.0, 0.5632150190671752)	(5.0, 0.44001173364623053)	(6.0, 0.3872103256086829)	(7.0, 0.4517453798767967)	(8.0, 0.32854209445585214)	(9.0, 0.5280140803754767)	('>10', 11.428571428571429)	('>50', 5.280140803754767)	('>100', 12.390730419477853)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 64.17131123496627)
SRR3216784_1	(1.0, 1.5303430079155673)	(2.0, 0.6508355321020229)	(3.0, 0.7387862796833773)	(4.0, 0.49252418645558493)	(5.0, 0.7475813544415127)	(6.0, 0.47493403693931396)	(7.0, 0.36939313984168864)	(8.0, 0.4221635883905013)	(9.0, 0.395778364116095)	('>10', 8.056288478452068)	('>50', 0.7036059806508356)	('>100', 1.978891820580475)	('>500', 0.0)	('>1k', 0.0)	('>5k', 83.43887423043095)	('>10k+', 0.0)
SRR3216785_1	(1.0, 3.332115454877603)	(2.0, 2.3675557179393496)	(3.0, 1.4687614176105224)	(4.0, 1.1399342345633905)	(5.0, 0.8403361344537815)	(6.0, 1.1837778589696748)	(7.0, 0.6649616368286445)	(8.0, 0.5845816587504566)	(9.0, 0.6576543660942638)	('>10', 10.076726342710996)	('>50', 5.224698575082207)	('>100', 20.94263792473511)	('>500', 12.773109243697478)	('>1k', 38.74314943368652)	('>5k', 0.0)	('>10k+', 0.0)
SRR3216786_1	(1.0, 4.470404984423676)	(2.0, 3.3021806853582554)	(3.0, 2.102803738317757)	(4.0, 1.1214953271028036)	(5.0, 0.9345794392523363)	(6.0, 1.2149532710280373)	(7.0, 0.43613707165109034)	(8.0, 0.7476635514018692)	(9.0, 0.8411214953271028)	('>10', 9.87538940809969)	('>50', 2.2118380062305296)	('>100', 26.853582554517136)	('>500', 19.003115264797508)	('>1k', 26.88473520249221)	('>5k', 0.0)	('>10k+', 0.0)
SRR3216787_1	(1.0, 0.8860390556689012)	(2.0, 0.6237248615563975)	(3.0, 0.332264645875838)	(4.0, 0.2215097639172253)	(5.0, 0.1311570970562518)	(6.0, 0.15738851646750218)	(7.0, 0.16321772078111338)	(8.0, 0.13990090352666862)	(9.0, 0.05246283882250073)	('>10', 5.660157388516467)	('>50', 3.0545030603322645)	('>100', 1.2853395511512677)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 87.2923345963276)
SRR3216788_1	(1.0, 1.5334160609820953)	(2.0, 0.7622761921645098)	(3.0, 0.9040950186137211)	(4.0, 0.7445488388583584)	(5.0, 0.39886544938840635)	(6.0, 0.31909235951072507)	(7.0, 0.3722744194291792)	(8.0, 0.42545647934763337)	(9.0, 0.5584116291437689)	('>10', 8.766176209891864)	('>50', 0.0)	('>100', 1.4359156177982626)	('>500', 0.0)	('>1k', 0.0)	('>5k', 83.77947172487148)	('>10k+', 0.0)
SRR3216789_1	(1.0, 1.7752470272986098)	(2.0, 1.2728186233461731)	(3.0, 1.1555853290906046)	(4.0, 0.6699045386032491)	(5.0, 0.7536426059286552)	(6.0, 0.5024284039524368)	(7.0, 0.7033997655334115)	(8.0, 0.5359236308825992)	(9.0, 0.15072852118573102)	('>10', 6.096131301289566)	('>50', 1.5910232791827166)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 84.79316697370625)	('>10k+', 0.0)
SRR3216790_1	(1.0, 2.2489758381406237)	(2.0, 1.63865897500209)	(3.0, 0.9781790820165538)	(4.0, 0.401304238776022)	(5.0, 0.6688403979600368)	(6.0, 0.7524454477050414)	(7.0, 0.7608059526795419)	(8.0, 0.7357244377560405)	(9.0, 0.8276899924755455)	('>10', 6.3957863054928525)	('>50', 1.6971825098235933)	('>100', 4.272218041969735)	('>500', 18.94490427221804)	('>1k', 0.0)	('>5k', 59.67728450798428)	('>10k+', 0.0)
SRR3216791_1	(1.0, 3.395601361921413)	(2.0, 2.12570166559308)	(3.0, 1.06285083279654)	(4.0, 1.012238888377657)	(5.0, 0.6901628784393117)	(6.0, 0.5521303027514494)	(7.0, 0.7407748228581945)	(8.0, 0.44170424220115945)	(9.0, 0.414097727063587)	('>10', 8.387779515965768)	('>50', 5.00598141161314)	('>100', 19.839882212202077)	('>500', 6.2160669918100675)	('>1k', 26.019140517162047)	('>5k', 24.0958866292445)	('>10k+', 0.0)
SRR3216792_1	(1.0, 3.815513626834382)	(2.0, 2.2222222222222223)	(3.0, 1.7610062893081762)	(4.0, 1.928721174004193)	(5.0, 1.1530398322851152)	(6.0, 1.1320754716981132)	(7.0, 0.44025157232704404)	(8.0, 0.16771488469601675)	(9.0, 0.18867924528301888)	('>10', 13.752620545073373)	('>50', 0.0)	('>100', 14.067085953878406)	('>500', 0.0)	('>1k', 59.37106918238994)	('>5k', 0.0)	('>10k+', 0.0)
SRR3216793_1	(1.0, 1.3927003293084521)	(2.0, 0.9055982436882546)	(3.0, 0.46309001097694835)	(4.0, 0.39791437980241495)	(5.0, 0.2058177826564215)	(6.0, 0.30872667398463227)	(7.0, 0.14407244785949505)	(8.0, 0.3293084522502744)	(9.0, 0.15436333699231614)	('>10', 9.15546103183315)	('>50', 4.46281558726674)	('>100', 5.258644346871569)	('>500', 2.819703622392975)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 74.00178375411636)
SRR3216794_1	(1.0, 3.699059561128527)	(2.0, 2.0062695924764893)	(3.0, 0.9404388714733543)	(4.0, 0.9195402298850575)	(5.0, 0.7314524555903866)	(6.0, 0.3134796238244514)	(7.0, 0.438871473354232)	(8.0, 0.1671891327063741)	(9.0, 0.09404388714733543)	('>10', 15.099268547544408)	('>50', 4.597701149425287)	('>100', 25.54858934169279)	('>500', 6.489028213166144)	('>1k', 38.955067920585165)	('>5k', 0.0)	('>10k+', 0.0)
SRR3216795_1	(1.0, 0.9647696476964771)	(2.0, 0.8672086720867209)	(3.0, 0.5528455284552846)	(4.0, 0.47696476964769646)	(5.0, 0.3252032520325203)	(6.0, 0.35772357723577236)	(7.0, 0.41734417344173447)	(8.0, 0.34688346883468835)	(9.0, 0.2926829268292683)	('>10', 6.02710027100271)	('>50', 0.28184281842818426)	('>100', 0.0)	('>500', 0.0)	('>1k', 20.124661246612465)	('>5k', 0.0)	('>10k+', 68.96476964769647)
SRR3216796_1	(1.0, 1.1346511834057265)	(2.0, 0.5318677422214343)	(3.0, 0.6914280648878646)	(4.0, 0.6027834411842922)	(5.0, 0.4432231185178619)	(6.0, 0.31912064533286055)	(7.0, 0.372307419555004)	(8.0, 0.1418313979257158)	(9.0, 0.23934048399964544)	('>10', 5.522560056732559)	('>50', 0.0)	('>100', 6.338090594805425)	('>500', 0.0)	('>1k', 0.0)	('>5k', 83.66279585143161)	('>10k+', 0.0)
SRR3216797_1	(1.0, 4.660236263140782)	(2.0, 2.601062100357646)	(3.0, 1.528123983960117)	(4.0, 0.736967595101333)	(5.0, 1.0295870813915682)	(6.0, 0.7803186301072939)	(7.0, 0.6069144900834507)	(8.0, 0.6069144900834507)	(9.0, 0.7803186301072939)	('>10', 17.459629348650697)	('>50', 8.312560962392977)	('>100', 41.01007911563889)	('>500', 8.811097864961525)	('>1k', 11.076189444022976)	('>5k', 0.0)	('>10k+', 0.0)
SRR3216798_1	(1.0, 4.218635363169479)	(2.0, 2.127659574468085)	(3.0, 1.8708730741012474)	(4.0, 0.6847640009782343)	(5.0, 0.8559550012227928)	(6.0, 0.36683785766691124)	(7.0, 0.7703595011005135)	(8.0, 0.586940572267058)	(9.0, 0.3301540719002201)	('>10', 13.670824162386891)	('>50', 10.026901442895573)	('>100', 29.860601614086573)	('>500', 18.769870383956956)	('>1k', 15.859623379799462)	('>5k', 0.0)	('>10k+', 0.0)
SRR3216799_1	(1.0, 1.6042780748663104)	(2.0, 1.0375927847394046)	(3.0, 0.5746667730864394)	(4.0, 0.8300742277915236)	(5.0, 0.5187963923697023)	(6.0, 0.2873333865432197)	(7.0, 0.7263149493175832)	(8.0, 0.44696304573389734)	(9.0, 0.35916673317902464)	('>10', 8.14111261872456)	('>50', 1.5324447282305051)	('>100', 0.0)	('>500', 5.7147417990262595)	('>1k', 0.0)	('>5k', 78.22651448639158)	('>10k+', 0.0)
SRR3216800_1	(1.0, 1.651893634165995)	(2.0, 0.91324200913242)	(3.0, 0.6446414182111201)	(4.0, 0.4834810636583401)	(5.0, 0.9401020682245501)	(6.0, 0.6446414182111201)	(7.0, 0.37604082728982)	(8.0, 0.42976094547408006)	(9.0, 0.604351329572925)	('>10', 4.619930163846361)	('>50', 0.0)	('>100', 0.0)	('>500', 6.795594950308891)	('>1k', 0.0)	('>5k', 81.89632017190438)	('>10k+', 0.0)
SRR3216801_1	(1.0, 1.5526561801406333)	(2.0, 1.2356216721538023)	(3.0, 0.8657480795024998)	(4.0, 0.6015526561801406)	(5.0, 0.6300044709994717)	(6.0, 0.5365199365930984)	(7.0, 0.3983254074706337)	(8.0, 0.58529447628338)	(9.0, 0.43897085721253504)	('>10', 5.926106572369223)	('>50', 2.6541478681461608)	('>100', 2.011949762224119)	('>500', 3.0727960004877453)	('>1k', 26.366703247571433)	('>5k', 0.0)	('>10k+', 53.123602812665126)
