sample-id	age	ethnicity	isolate	sex	tissue
SRR3216679_1	26	AfricanAmerican	Scalp	male	Skin
SRR3216680_1	26	AfricanAmerican	Scalp	male	Skin
SRR3216681_1	26	AfricanAmerican	Axilla	male	Skin
SRR3216682_1	26	AfricanAmerican	Axilla	male	Skin
SRR3216683_1	26	AfricanAmerican	Arm	male	Skin
SRR3216684_1	26	AfricanAmerican	Arm	male	Skin
SRR3216685_1	26	AfricanAmerican	Scalp	male	Skin
SRR3216686_1	26	AfricanAmerican	Scalp	male	Skin
SRR3216687_1	26	AfricanAmerican	Axilla	male	Skin
SRR3216688_1	26	AfricanAmerican	Axilla	male	Skin
SRR3216689_1	26	AfricanAmerican	Arm	male	Skin
SRR3216690_1	26	AfricanAmerican	Arm	male	Skin
SRR3216691_1	30	AfricanAmerican	Scalp	male	Skin
SRR3216692_1	30	AfricanAmerican	Scalp	male	Skin
SRR3216693_1	30	AfricanAmerican	Axilla	male	Skin
SRR3216694_1	30	AfricanAmerican	Axilla	male	Skin
SRR3216695_1	30	AfricanAmerican	Arm	male	Skin
SRR3216696_1	30	AfricanAmerican	Arm	male	Skin
SRR3216697_1	47	AfricanContinental	Scalp	male	Skin
SRR3216698_1	47	AfricanContinental	Scalp	male	Skin
SRR3216699_1	47	AfricanContinental	Axilla	male	Skin
SRR3216700_1	47	AfricanContinental	Axilla	male	Skin
SRR3216701_1	47	AfricanContinental	Arm	male	Skin
SRR3216702_1	47	AfricanContinental	Arm	male	Skin
SRR3216703_1	24	AfricanContinental	Scalp	male	Skin
SRR3216704_1	24	AfricanContinental	Scalp	male	Skin
SRR3216705_1	24	AfricanContinental	Axilla	male	Skin
SRR3216706_1	24	AfricanContinental	Axilla	male	Skin
SRR3216707_1	24	AfricanContinental	Arm	male	Skin
SRR3216708_1	24	AfricanContinental	Arm	male	Skin
SRR3216709_1	37	AfricanContinental	Scalp	male	Skin
SRR3216710_1	37	AfricanContinental	Scalp	male	Skin
SRR3216711_1	37	AfricanContinental	Axilla	male	Skin
SRR3216712_1	37	AfricanContinental	Axilla	male	Skin
SRR3216713_1	37	AfricanContinental	Arm	male	Skin
SRR3216714_1	37	AfricanContinental	Arm	male	Skin
SRR3216715_1	23	AfricanContinental	Scalp	male	Skin
SRR3216716_1	23	AfricanContinental	Scalp	male	Skin
SRR3216717_1	23	AfricanContinental	Axilla	male	Skin
SRR3216718_1	23	AfricanContinental	Axilla	male	Skin
SRR3216719_1	23	AfricanContinental	Arm	male	Skin
SRR3216720_1	23	AfricanContinental	Arm	male	Skin
SRR3216721_1	45	AfricanContinental	Scalp	male	Skin
SRR3216722_1	45	AfricanContinental	Scalp	male	Skin
SRR3216723_1	45	AfricanContinental	Axilla	male	Skin
SRR3216724_1	45	AfricanContinental	Axilla	male	Skin
SRR3216725_1	45	AfricanContinental	Arm	male	Skin
SRR3216726_1	45	AfricanContinental	Arm	male	Skin
SRR3216727_1	21	AfricanContinental	Scalp	male	Skin
SRR3216728_1	21	AfricanContinental	Scalp	male	Skin
SRR3216729_1	21	AfricanContinental	Axilla	male	Skin
SRR3216730_1	21	AfricanContinental	Axilla	male	Skin
SRR3216731_1	21	AfricanContinental	Arm	male	Skin
SRR3216732_1	21	AfricanContinental	Arm	male	Skin
SRR3216733_1	25	AfricanContinental	Scalp	male	Skin
SRR3216734_1	25	AfricanContinental	Scalp	male	Skin
SRR3216735_1	25	AfricanContinental	Axilla	male	Skin
SRR3216736_1	25	AfricanContinental	Axilla	male	Skin
SRR3216737_1	25	AfricanContinental	Arm	male	Skin
