sample-id	age	ethnicity	isolate	sex	tissue
SRR3217061_1	30	Hispanic	Axilla	male	Skin
SRR3217062_1	30	Hispanic	Scalp	male	Skin
SRR3217063_1	30	Hispanic	Axilla	male	Skin
SRR3217064_1	30	Hispanic	Arm	male	Skin
SRR3217065_1	30	Hispanic	Arm	male	Skin
SRR3217066_1	26	Hispanic	Scalp	male	Skin
SRR3217067_1	26	Hispanic	Axilla	male	Skin
SRR3217068_1	26	Hispanic	Scalp	male	Skin
SRR3217069_1	26	Hispanic	Axilla	male	Skin
SRR3217070_1	26	Hispanic	Arm	male	Skin
SRR3217071_1	26	Hispanic	Arm	male	Skin
SRR3217072_1	21	Hispanic	Scalp	male	Skin
SRR3217073_1	21	Hispanic	Axilla	male	Skin
SRR3217074_1	21	Hispanic	Scalp	male	Skin
SRR3217075_1	21	Hispanic	Axilla	male	Skin
SRR3217076_1	21	Hispanic	Arm	male	Skin
SRR3217077_1	21	Hispanic	Arm	male	Skin
SRR3217078_1	24	Hispanic	Scalp	male	Skin
SRR3217079_1	24	Hispanic	Axilla	male	Skin
SRR3217080_1	24	Hispanic	Scalp	male	Skin
SRR3217081_1	24	Hispanic	Axilla	male	Skin
SRR3217082_1	24	Hispanic	Arm	male	Skin
SRR3217083_1	24	Hispanic	Arm	male	Skin
SRR3217084_1	26	Hispanic	Scalp	male	Skin
SRR3217085_1	26	Hispanic	Axilla	male	Skin
SRR3217086_1	26	Hispanic	Scalp	male	Skin
SRR3217087_1	26	Hispanic	Axilla	male	Skin
SRR3217088_1	26	Hispanic	Arm	male	Skin
SRR3217089_1	26	Hispanic	Arm	male	Skin
SRR3217090_1	28	Hispanic	Scalp	male	Skin
SRR3217091_1	28	Hispanic	Axilla	male	Skin
SRR3217092_1	28	Hispanic	Scalp	male	Skin
SRR3217093_1	28	Hispanic	Axilla	male	Skin
SRR3217094_1	28	Hispanic	Arm	male	Skin
SRR3217095_1	28	Hispanic	Arm	male	Skin
SRR3217096_1	30	Hispanic	Scalp	male	Skin
SRR3217097_1	30	Hispanic	Axilla	male	Skin
SRR3217098_1	30	Hispanic	Scalp	male	Skin
SRR3217099_1	30	Hispanic	Axilla	male	Skin
SRR3217100_1	30	Hispanic	Arm	male	Skin
SRR3217101_1	30	Hispanic	Arm	male	Skin
SRR3217102_1	27	Hispanic	Scalp	male	Skin
SRR3217103_1	27	Hispanic	Axilla	male	Skin
SRR3217104_1	27	Hispanic	Scalp	male	Skin
SRR3217105_1	27	Hispanic	Axilla	male	Skin
SRR3217106_1	27	Hispanic	Arm	male	Skin
SRR3217107_1	27	Hispanic	Arm	male	Skin
SRR3217108_1	33	Hispanic	Scalp	male	Skin
SRR3217109_1	33	Hispanic	Axilla	male	Skin
SRR3217110_1	33	Hispanic	Scalp	male	Skin
SRR3217111_1	33	Hispanic	Axilla	male	Skin
SRR3217112_1	33	Hispanic	Arm	male	Skin
SRR3217113_1	33	Hispanic	Arm	male	Skin
SRR3217114_1	45	SouthAsian	Scalp	male	Skin
SRR3217115_1	45	SouthAsian	Axilla	male	Skin
SRR3217116_1	45	SouthAsian	Scalp	male	Skin
SRR3217117_1	45	SouthAsian	Axilla	male	Skin
SRR3217118_1	45	SouthAsian	Arm	male	Skin
SRR3217119_1	45	SouthAsian	Arm	male	Skin
SRR3217120_1	31	SouthAsian	Scalp	male	Skin
SRR3217121_1	31	SouthAsian	Axilla	male	Skin
SRR3217122_1	31	SouthAsian	Scalp	male	Skin
SRR3217123_1	31	SouthAsian	Axilla	male	Skin
SRR3217124_1	31	SouthAsian	Arm	male	Skin
SRR3217125_1	31	SouthAsian	Arm	male	Skin
SRR3217126_1	48	SouthAsian	Scalp	male	Skin
SRR3217127_1	48	SouthAsian	Axilla	male	Skin
SRR3217128_1	48	SouthAsian	Scalp	male	Skin
SRR3217129_1	48	SouthAsian	Axilla	male	Skin
SRR3217130_1	48	SouthAsian	Arm	male	Skin
SRR3217131_1	48	SouthAsian	Arm	male	Skin
SRR3217132_1	38	SouthAsian	Scalp	male	Skin
SRR3217133_1	38	SouthAsian	Axilla	male	Skin
SRR3217134_1	38	SouthAsian	Scalp	male	Skin
SRR3217135_1	38	SouthAsian	Axilla	male	Skin
SRR3217136_1	38	SouthAsian	Arm	male	Skin
SRR3217137_1	38	SouthAsian	Arm	male	Skin
SRR3217138_1	42	SouthAsian	Scalp	male	Skin
SRR3217139_1	42	SouthAsian	Axilla	male	Skin
SRR3217140_1	42	SouthAsian	Scalp	male	Skin
SRR3217141_1	42	SouthAsian	Axilla	male	Skin
SRR3217142_1	42	SouthAsian	Arm	male	Skin
SRR3217143_1	42	SouthAsian	Arm	male	Skin
SRR3217144_1	35	SouthAsian	Scalp	male	Skin
SRR3217145_1	35	SouthAsian	Axilla	male	Skin
SRR3217146_1	35	SouthAsian	Scalp	male	Skin
SRR3217147_1	35	SouthAsian	Axilla	male	Skin
SRR3217148_1	35	SouthAsian	Arm	male	Skin
SRR3217149_1	35	SouthAsian	Arm	male	Skin
SRR3217150_1	30	SouthAsian	Scalp	male	Skin
SRR3217151_1	30	SouthAsian	Axilla	male	Skin
SRR3217152_1	30	SouthAsian	Arm	male	Skin
SRR3217153_1	24	SouthAsian	Scalp	male	Skin
SRR3217154_1	24	SouthAsian	Axilla	male	Skin
SRR3217155_1	24	SouthAsian	Arm	male	Skin
SRR3217156_1	47	SouthAsian	Scalp	male	Skin
SRR3217157_1	47	SouthAsian	Axilla	male	Skin
SRR3217158_1	47	SouthAsian	Scalp	male	Skin
SRR3217159_1	47	SouthAsian	Axilla	male	Skin
SRR3217160_1	47	SouthAsian	Arm	male	Skin
SRR3217161_1	47	SouthAsian	Arm	male	Skin
SRR3217162_1	25	SouthAsian	Scalp	male	Skin
SRR3217163_1	25	SouthAsian	Axilla	male	Skin
SRR3217164_1	25	SouthAsian	Scalp	male	Skin
SRR3217165_1	25	SouthAsian	Axilla	male	Skin
SRR3217166_1	25	SouthAsian	Arm	male	Skin
SRR3217167_1	25	SouthAsian	Arm	male	Skin
SRR3217168_1	36	SouthAsian	Scalp	male	Skin
SRR3217169_1	36	SouthAsian	Axilla	male	Skin
SRR3217170_1	36	SouthAsian	Scalp	male	Skin
SRR3217171_1	36	SouthAsian	Axilla	male	Skin
SRR3217172_1	36	SouthAsian	Arm	male	Skin
SRR3217173_1	36	SouthAsian	Arm	male	Skin
SRR3217174_1	31	SouthAsian	Scalp	male	Skin
SRR3217175_1	31	SouthAsian	Axilla	male	Skin
SRR3217176_1	31	SouthAsian	Scalp	male	Skin
SRR3217177_1	31	SouthAsian	Axilla	male	Skin
SRR3217178_1	31	SouthAsian	Arm	male	Skin
SRR3217179_1	31	SouthAsian	Arm	male	Skin
SRR3217180_1	43	SouthAsian	Scalp	male	Skin
SRR3217181_1	43	SouthAsian	Axilla	male	Skin
SRR3217182_1	43	SouthAsian	Scalp	male	Skin
SRR3217183_1	43	SouthAsian	Axilla	male	Skin
SRR3217184_1	43	SouthAsian	Arm	male	Skin
SRR3217185_1	43	SouthAsian	Arm	male	Skin
SRR3217186_1	44	SouthAsian	Scalp	male	Skin
SRR3217187_1	44	SouthAsian	Axilla	male	Skin
SRR3217188_1	44	SouthAsian	Scalp	male	Skin
SRR3217189_1	44	SouthAsian	Axilla	male	Skin
SRR3217190_1	44	SouthAsian	Arm	male	Skin
SRR3217191_1	44	SouthAsian	Arm	male	Skin
SRR3217192_1	40	SouthAsian	Scalp	male	Skin
SRR3217193_1	40	SouthAsian	Axilla	male	Skin
SRR3217194_1	40	SouthAsian	Scalp	male	Skin
SRR3217195_1	40	SouthAsian	Axilla	male	Skin
SRR3217196_1	40	SouthAsian	Arm	male	Skin
SRR3217197_1	40	SouthAsian	Arm	male	Skin
SRR3217198_1	35	SouthAsian	Scalp	male	Skin
SRR3217199_1	35	SouthAsian	Axilla	male	Skin
SRR3217200_1	35	SouthAsian	Scalp	male	Skin
SRR3217201_1	35	SouthAsian	Axilla	male	Skin
SRR3217202_1	35	SouthAsian	Arm	male	Skin
SRR3217203_1	35	SouthAsian	Arm	male	Skin
SRR3217204_1	25	SouthAsian	Scalp	male	Skin
SRR3217205_1	25	SouthAsian	Axilla	male	Skin
SRR3217206_1	25	SouthAsian	Arm	male	Skin
SRR3217207_1	29	SouthAsian	Scalp	male	Skin
SRR3217208_1	29	SouthAsian	Axilla	male	Skin
SRR3217209_1	29	SouthAsian	Scalp	male	Skin
SRR3217210_1	29	SouthAsian	Axilla	male	Skin
SRR3217211_1	29	SouthAsian	Arm	male	Skin
SRR3217212_1	29	SouthAsian	Arm	male	Skin
SRR3217213_1	30	SouthAsian	Scalp	male	Skin
SRR3217214_1	30	SouthAsian	Axilla	male	Skin
SRR3217215_1	30	SouthAsian	Scalp	male	Skin
SRR3217216_1	30	SouthAsian	Axilla	male	Skin
SRR3217217_1	30	SouthAsian	Arm	male	Skin
SRR3217218_1	30	SouthAsian	Arm	male	Skin
SRR3217219_1	47	SouthAsian	Scalp	male	Skin
SRR3217220_1	47	SouthAsian	Axilla	male	Skin
SRR3217221_1	47	SouthAsian	Arm	male	Skin
SRR3217222_1	25	AfricanContinental	Scalp	male	Skin
SRR3217223_1	25	AfricanContinental	Scalp	male	Skin
SRR3217224_1	25	AfricanContinental	Axilla	male	Skin
SRR3217225_1	25	AfricanContinental	Axilla	male	Skin
SRR3217226_1	25	AfricanContinental	Arm	male	Skin
SRR3217227_1	25	AfricanContinental	Arm	male	Skin
SRR3217228_1	24	AfricanContinental	Scalp	male	Skin
SRR3217229_1	24	AfricanContinental	Scalp	male	Skin
SRR3217230_1	24	AfricanContinental	Axilla	male	Skin
SRR3217231_1	24	AfricanContinental	Axilla	male	Skin
SRR3217232_1	24	AfricanContinental	Arm	male	Skin
SRR3217233_1	24	AfricanContinental	Arm	male	Skin
