"taxon","lfc_isolateAxilla","lfc_isolateScalp","lfc_isolateScalp_isolateAxilla","se_isolateAxilla","se_isolateScalp","se_isolateScalp_isolateAxilla","W_isolateAxilla","W_isolateScalp","W_isolateScalp_isolateAxilla","p_isolateAxilla","p_isolateScalp","p_isolateScalp_isolateAxilla","q_isolateAxilla","q_isolateScalp","q_isolateScalp_isolateAxilla","diff_isolateAxilla","diff_isolateScalp","diff_isolateScalp_isolateAxilla","passed_ss_isolateAxilla","passed_ss_isolateScalp","passed_ss_isolateScalp_isolateAxilla","diff_robust_isolateAxilla","diff_robust_isolateScalp","diff_robust_isolateScalp_isolateAxilla","Taxon","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Rank7"
"61abd8a8fc64fc4ea6aa6bb33c056efd",-0.603230471085122,-0.302947840231635,0.300282630853487,0.136025136984787,0.130771735652093,0.146969355627447,-4.43469850100272,-2.31661557997213,2.04316491401564,1.98532942203347e-05,0.0221391044362941,0.0431213205425389,6.94151150437601e-05,0.0552681240244177,0.0645268681499863,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales","Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales",NA,NA,NA
"fa04a0fadb7872cf8c19b7e928542ff9",0.291395808091702,0.0634870175522133,-0.227908790539489,0.135126651280411,0.130146282206264,0.147580725709904,2.15646436384342,0.487812763268911,-1.54429915860072,0.034388010459383,0.627164648946775,0.126900076985227,0.12023433872849,0.93849098547431,0.316793717365998,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Bacteria; p__Actinomycetota; c__Actinobacteria; o__Micrococcales; f__Micrococcaceae","Bacteria","p__Actinomycetota","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae",NA,NA
"cfdd70bdbf090e219bf771ede00b81bb",-0.365777830889208,-0.28476159520795,0.0810162356812574,0.130563787805862,0.123768046190313,0.144247839643602,-2.80152588275923,-2.30076828368191,0.561646093843947,0.0059238984190405,0.0231165567995739,0.575395986869063,0.0207123354795229,0.0577082389169218,0.861024210566656,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales","Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Enterobacterales",NA,NA,NA
"54e7b2139640ec28fbaf7f0491cad845",-0.0180587502558862,0.0329027848879456,0.0509615351438319,0.133124301513992,0.127623304389084,0.145990541624968,-0.135653295833355,0.257811729961443,0.349074224786053,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Bacteria; p__Cyanobacteriota; c__Cyanobacteriia; o__Chloroplast; f__Incertae_Sedis; g__Incertae_Sedis","Bacteria","p__Cyanobacteriota","c__Cyanobacteriia","o__Chloroplast","f__Incertae_Sedis","g__Incertae_Sedis",NA
"a27c0544a0789a4e34dc33c69ff79640",-0.537036883811285,0.0479110774716509,0.584947961282935,0.129179937391452,0.124109245260722,0.145023565816406,-4.15727778365388,0.386039552258995,4.03346834005898,9.7591671887295e-05,0.700747724900357,0.0001489643997225,0.000341219802426082,1,0.000371875156141782,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Bacteria; p__Pseudomonadota; c__Alphaproteobacteria","Bacteria","p__Pseudomonadota","c__Alphaproteobacteria",NA,NA,NA,NA
"78e82208465dc5122d2b998caca016b6",0.89424100090064,0.409384936809262,-0.484856064091377,0.132952314361837,0.127220240263162,0.145989788830453,6.72602808904038,3.21792299686297,-3.3211642264547,5.61473848770491e-09,0.00202778443087363,0.00148406822124065,1.96313878059323e-08,0.00370483217820508,0.00370483217820508,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Bacteria; p__Actinomycetota; c__Actinobacteria; o__Micrococcales; f__Micrococcaceae","Bacteria","p__Actinomycetota","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae",NA,NA
"976c548e0e13c21227362762bc67886d",0,1.91852949923459,1.91852949923459,0.126230591840626,0.124980047544162,0.147255957336497,0,15.350686264995,13.0285357138423,1,7.51876194943497e-25,5.99986981902213e-21,1,2.62886209167295e-24,1.49780922820193e-20,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,"Bacteria; p__Actinomycetota; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Cutibacterium","Bacteria","p__Actinomycetota","c__Actinobacteria","o__Propionibacteriales","f__Propionibacteriaceae","g__Cutibacterium",NA
"e92e9e21eab765c6ada40b76b7df1e0c",0.0169001380978286,0.181806837502986,0.164906699405157,0.130401937681049,0.123337438763984,0.145453792065058,0.129600360227505,1.47406042581188,1.13373943067362,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Bacteria; p__Actinomycetota; c__Actinobacteria; o__Micrococcales; f__Micrococcaceae","Bacteria","p__Actinomycetota","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae",NA,NA
"38bfbd3a2cf83da8fe03cea0f6b4f5f3",-0.935606989343793,0.00646704681587703,0.94207403615967,0.133425537425528,0.126753964726245,0.144868202095417,-7.01220326630501,0.0510204696937419,6.50297320276794,1.18665011002955e-09,0.959454520469448,9.93321643018232e-09,4.14900685952778e-09,1,2.47973100811026e-08,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales","Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Pseudomonadales",NA,NA,NA
"e8cd9d4ff0406a80fb034f8c33158e93",0.432610872326211,0.139748534480363,-0.292862337845848,0.135173305749385,0.129798276157969,0.146598898925697,3.2004164574349,1.07665940270489,-1.9977117153812,0.00209845790511259,0.285493998547303,0.0498103310357402,0.00733705425816343,0.427214040991648,0.124346653736704,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales","Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Pseudomonadales",NA,NA,NA
